,Gene,Ensembl,gene,pvalue,padj
14091,CA8,ENSG00000178538,ENSG00000178538,0.000241062498446,0.00101927130784
3660,MFSD10,ENSG00000109736,ENSG00000109736,0.000242039299198,0.00102315276052
16983,DZIP3,ENSG00000198919,ENSG00000198919,0.000242274492624,0.00102389815335
10782,ARHGAP25,ENSG00000163219,ENSG00000163219,0.00024262879281,0.00102514642967
9783,AFF2,ENSG00000155966,ENSG00000155966,0.000242827962955,0.00102573880904
16897,EGFL6,ENSG00000198759,ENSG00000198759,0.00024366791186,0.0010290369815
2531,METTL4,ENSG00000101574,ENSG00000101574,0.000243746093785,0.00102911730616
12558,GABARAP,ENSG00000170296,ENSG00000170296,0.000244515786302,0.00103186610934
1609,STARD7,ENSG00000084090,ENSG00000084090,0.000244468028878,0.00103186610934
9884,ZNF689,ENSG00000156853,ENSG00000156853,0.000244585715377,0.00103191087048
3635,IL2,ENSG00000109471,ENSG00000109471,0.000244688686599,0.00103209498142
4888,DNAL1,ENSG00000119661,ENSG00000119661,0.000244814293806,0.00103237445837
5130,KIF18A,ENSG00000121621,ENSG00000121621,0.00024523375496,0.00103364215351
3688,C11orf63,ENSG00000109944,ENSG00000109944,0.000245187042869,0.00103364215351
12833,RSL1D1,ENSG00000171490,ENSG00000171490,0.000245410726939,0.00103413749881
1062,NUP133,ENSG00000069248,ENSG00000069248,0.000245844834577,0.00103571588701
1080,NEDD4,ENSG00000069869,ENSG00000069869,0.000246101182363,0.00103654481046
1747,SULT2B1,ENSG00000088002,ENSG00000088002,0.000246271836978,0.00103701249194
7354,PGBD1,ENSG00000137338,ENSG00000137338,0.000247343242492,0.00104127195139
1008,DHX8,ENSG00000067596,ENSG00000067596,0.000247540077849,0.00104158299851
